Fecha,Aceites lubricantes,Asfalto ,Bunker,Ceras,Combustible turbo jet,Diesel bajo azufre,Diesel ultra bajo azufre,Gas licuado de petróleo,Gasolina de aviación,Gasolina regular,Gasolina superior,Grasas lubricantes,Kerosina,Mezclas oleosas,Naftas,Petcoke,Petróleo crudo,Solventes,Butano,Diesel alto azufre,MTBE,Orimulsión,Petróleo reconstituido,Total importación,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan/2001,0.00,"27,748.99","214,581.84",0.00,0.00,0.00,0.00,"194,065.74",820.00,"177,776.50","373,963.96",0.00,"33,834.03",0.00,0.00,0.00,0.00,0.00,0.00,"566,101.99","8,402.00",0.00,"715,344.00","2,312,639.05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb/2001,0.00,"7,503.57","294,609.00",0.00,0.00,0.00,0.00,"170,703.38","3,054.00","123,115.99","243,091.07",0.00,"67,439.95",0.00,0.00,0.00,0.00,0.00,0.00,"489,525.80",0.00,0.00,"370,166.00","1,769,208.76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar/2001,0.00,"26,304.32","315,263.80",0.00,0.00,0.00,0.00,"161,837.37",677.00,"161,726.42","312,084.38",0.00,"31,787.29",0.00,0.00,0.00,0.00,0.00,0.00,"575,559.68",0.00,0.00,"360,530.00","1,945,770.26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr/2001,0.00,"7,885.89","205,653.00",0.00,0.00,0.00,0.00,"163,048.64","3,399.00","127,338.74","285,054.89",0.00,"25,801.18",0.00,0.00,0.00,0.00,0.00,0.00,"437,745.42","8,184.00",0.00,"359,527.00","1,623,637.76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May/2001,0.00,"8,443.16","278,371.30",0.00,0.00,0.00,0.00,"171,518.86",585.00,"168,730.19","300,913.67",0.00,"45,529.33",0.00,0.00,0.00,0.00,0.00,0.00,"552,609.13","12,680.00",0.00,"723,346.00","2,262,726.64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun/2001,0.00,"6,229.04","218,765.60",0.00,0.00,0.00,0.00,"190,004.42",492.00,"152,899.09","333,217.19",0.00,"64,444.95",0.00,0.00,0.00,0.00,0.00,0.00,"497,855.26",0.00,0.00,"360,369.00","1,824,276.55",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul/2001,0.00,"3,103.99","156,109.00",0.00,0.00,0.00,0.00,"206,022.83",655.00,"136,299.13","195,071.86",0.00,"23,654.10",0.00,0.00,0.00,0.00,0.00,0.00,"302,350.02","10,642.00",0.00,"360,570.00","1,394,477.93",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug/2001,0.00,"27,821.06","189,692.60",0.00,0.00,0.00,0.00,"100,561.47",607.00,"139,365.07","268,153.26",0.00,"49,890.61",0.00,0.00,0.00,0.00,0.00,0.00,"464,159.13","13,357.00",0.00,"719,303.00","1,972,910.20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep/2001,0.00,"2,324.85","385,142.30",0.00,0.00,0.00,0.00,"186,839.02","3,868.00","233,643.75","308,439.07",0.00,"41,519.91",0.00,0.00,0.00,0.00,0.00,0.00,"321,952.94",0.00,0.00,"360,635.00","1,844,364.84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct/2001,0.00,"1,484.40","214,138.00",0.00,0.00,0.00,0.00,"163,864.20",650.00,"141,550.22","305,102.28",0.00,"32,657.33",0.00,0.00,0.00,0.00,0.00,0.00,"438,989.55","19,431.00",0.00,"717,717.00","2,035,583.98",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
