MES/AÑO,,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
ENERO,,11.64,9.29,10.90,11.64,15.93,19.82,18.89,26.24,19.51,24.49,27.81,31.12,32.30,32.03,19.67,14.47,19.15,21.62,20.73,21.94,19.10,27.41,36.78
FEBRERO,,11.42,9.01,11.86,12.59,15.35,19.28,17.89,26.31,18.35,24.03,28.69,32.61,32.93,31.27,20.59,13.80,18.70,21.28,21.94,19.57,20.62,30.20,34.00
MARZO,,,,,12.92,16.25,18.71,18.94,28.04,17.18,24.29,31.67,33.20,32.14,30.95,20.97,15.57,18.43,20.97,22.71,15.06,22.27,37.05,31.66
ABRIL,,10.96,9.74,12.63,12.54,18.01,19.63,20.48,30.68,17.68,24.93,32.52,33.01,30.10,33.59,20.85,15.90,18.43,22.09,22.79,15.95,21.77,33.90,30.77
MAYO,,11.02,9.80,11.13,12.70,18.50,20.60,21.08,32.57,19.81,24.85,32.27,31.66,29.36,31.16,22.10,17.00,17.76,23.20,22.83,15.06,22.71,35.79,28.44
JUNIO,,10.93,9.73,9.91,12.57,17.25,20.69,21.53,36.40,20.67,23.18,31.29,29.20,28.68,31.04,21.57,17.98,17.33,22.97,21.63,16.39,23.23,36.17,
JULIO,,10.70,9.88,9.91,12.55,17.25,20.76,21.62,37.17,20.75,23.38,31.48,29.81,30.98,30.93,20.34,17.15,17.47,22.93,21.85,17.38,23.64,32.34,
AGOSTO,,10.50,10.28,10.48,12.95,17.80,21.56,21.83,35.34,21.75,23.60,31.60,31.86,31.40,30.42,18.24,16.97,18.44,22.92,21.11,17.61,23.89,34.84,
SEPTIEMBRE,,10.60,10.24,11.14,13.88,19.06,21.16,21.54,32.87,21.86,22.89,31.17,33.51,32.45,29.53,18.43,17.67,19.18,23.84,21.83,16.51,24.59,31.64,
OCTUBRE,,10.61,10.56,10.82,15.81,20.50,19.91,22.86,29.35,21.38,24.83,30.84,33.00,31.32,27.71,18.47,18.35,19.98,25.04,22.06,16.15,26.47,39.18,
NOVIEMBRE,,10.39,16.45,10.98,17.15,21.08,18.92,25.16,25.22,23.50,25.68,32.22,31.47,30.48,25.97,18.04,17.99,20.81,23.78,21.80,16.15,27.07,39.93,
DICIEMBRE,,9.79,10.56,11.25,16.88,20.61,18.81,26.12,21.21,23.47,26.88,31.07,32.72,31.60,23.10,16.26,18.92,20.93,21.60,21.92,18.37,25.39,35.56,
Promedio,,10.78,10.50,11.00,13.68,18.13,19.99,21.49,30.12,20.49,24.42,31.05,31.93,31.14,29.81,19.63,16.81,18.88,22.69,21.93,17.18,23.39,34.50,32.33
