MES/AÑO,,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
ENERO,,14.15,12.57,15.37,15.80,18.52,22.15,22.48,28.28,20.68,27.43,29.90,32.57,32.72,33.33,20.28,18.90,23.19,24.77,21.87,24.59,23.01,30.60,33.70
FEBRERO,,,,,17.08,18.07,21.87,21.52,28.18,20.46,27.14,30.90,34.84,34.01,32.46,21.75,17.91,22.38,24.69,22.68,23.48,24.74,33.08,33.53
MARZO,,14.13,12.65,17.27,17.71,19.25,21.69,22.61,29.55,20.18,28.29,33.82,36.36,33.90,32.77,23.49,19.54,21.95,24.70,24.61,22.58,26.89,38.51,32.81
ABRIL,,14.10,14.22,16.50,18.07,21.42,23.99,25.01,30.99,20.67,29.33,34.90,37.02,32.99,33.59,24.07,20.78,22.72,25.99,26.63,17.96,27.22,35.80,34.71
MAYO,,15.21,14.29,15.43,18.45,21.97,26.37,26.99,32.44,21.89,28.83,35.03,35.26,33.12,33.20,25.38,21.63,22.15,27.23,26.69,17.71,27.98,39.37,33.43
JUNIO,,15.27,14.14,14.64,18.78,21.74,26.26,28.03,34.82,22.94,27.04,34.17,33.05,32.78,33.84,25.61,22.19,21.83,26.85,25.25,20.20,27.90,40.16,
JULIO,,14.70,14.52,14.58,18.70,21.73,26.07,27.77,35.77,25.57,26.91,34.39,34.00,34.19,34.11,25.67,21.04,21.76,26.77,25.93,21.75,28.69,35.42,
AGOSTO,,13.91,15.29,15.01,18.57,22.38,27.62,27.21,35.12,25.62,27.13,34.56,34.55,34.83,32.54,23.74,20.85,22.44,26.81,24.87,21.40,29.09,35.11,
SEPTIEMBRE,,14.08,15.21,16.32,18.42,24.74,26.77,26.21,34.20,25.76,26.23,34.15,36.84,34.51,31.61,21.80,21.50,24.03,27.02,24.66,21.32,29.51,34.28,
OCTUBRE,,14.06,15.57,16.14,19.03,26.72,24.25,26.41,30.48,25.09,27.80,33.47,35.87,32.64,29.86,21.37,21.87,23.15,27.36,24.49,21.50,30.28,36.40,
NOVIEMBRE,,13.57,15.69,15.80,19.82,25.47,22.71,27.30,25.35,26.76,27.97,33.93,32.93,31.49,27.87,20.47,21.20,24.09,24.68,24.44,20.40,30.82,35.97,
DICIEMBRE,12.84,,15.46,25.92,19.54,22.80,22.64,28.25,21.81,26.45,28.84,32.75,32.90,33.58,24.41,19.54,22.12,24.11,22.62,24.37,21.94,29.06,33.10,
Promedio,14.18,,14.51,16.63,18.33,22.07,24.36,25.81,30.58,23.51,27.74,33.50,34.68,33.40,31.63,22.76,20.79,22.81,25.79,24.71,21.23,27.93,35.65,33.64
