MES/AÑO,,2001,2002,2003,2004,,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,,
ENERO,,14.92,13.37,16.34,16.80,,19.80,23.31,23.62,29.55,22.86,29.62,32.18,33.88,34.43,35.26,22.36,21.01,25.31,26.47,23.72,26.17,24.34,32.05,35.76,,
FEBRERO,,15.17,13.23,17.21,18.05,,19.25,22.98,22.65,29.45,22.71,29.14,32.90,36.18,36.31,34.46,25.92,20.03,24.51,26.27,24.54,25.12,26.07,34.55,35.54,,
MARZO,,14.97,13.63,18.30,18.68,,20.46,22.85,24.00,30.83,22.39,30.71,35.59,37.54,36.32,34.81,25.61,21.70,24.03,26.43,26.49,24.15,28.24,39.83,34.95,,
ABRIL,,14.91,15.18,17.42,19.16,,22.70,25.36,26.35,32.45,23.05,31.88,36.43,38.40,35.12,35.66,26.17,22.91,24.81,27.74,28.48,19.44,28.54,39.37,36.87,,
MAYO,,16.26,15.19,16.48,19.48,,23.21,27.68,28.40,33.93,24.24,30.92,36.33,36.50,35.26,35.25,27.46,23.75,24.24,28.57,28.54,19.36,29.41,42.68,35.43,,
JUNIO,,16.31,15.05,15.68,19.90,,22.98,27.44,29.50,36.39,25.15,29.19,35.59,35.59,34.84,35.90,27.84,24.31,23.94,28.60,27.09,21.57,29.31,41.73,,,
JULIO,,15.53,15.56,15.58,19.85,,23.08,27.27,29.19,37.25,27.73,28.95,36.04,35.57,36.28,36.13,27.74,23.16,23.80,28.54,27.75,23.17,30.04,36.68,,,
AGOSTO,,14.75,16.31,16.06,19.69,,23.63,28.83,28.47,36.62,27.93,29.24,35.85,36.31,36.91,34.51,25.81,22.99,24.38,28.60,26.69,22.76,30.49,36.28,,,
SEPTIEMBRE,,14.95,16.23,17.51,19.51,,25.80,27.72,27.81,35.87,28.00,28.02,35.61,38.44,36.54,33.63,23.83,23.67,25.93,28.86,26.53,22.64,30.83,35.77,,,
OCTUBRE,,14.94,16.62,17.20,20.14,,27.83,25.43,28.12,32.48,27.36,29.91,35.00,37.11,34.57,31.82,23.50,24.01,25.08,29.14,25.21,22.76,32.60,38.05,,,
NOVIEMBRE,,14.43,16.75,16.82,21.03,,26.60,23.83,29.15,27.45,29.17,30.14,35.43,34.60,33.59,29.98,22.54,23.31,25.98,26.44,26.17,21.76,32.11,37.98,,,
DICIEMBRE,13.57,,16.50,16.40,20.71,,23.93,23.87,29.79,23.80,28.70,31.08,34.09,34.61,35.64,26.46,21.64,24.26,25.75,24.50,25.96,23.41,30.38,35.28,,,
Promedio,15.06,,15.30,16.75,19.42,,23.27,25.55,27.25,32.17,25.77,29.90,35.09,36.23,35.48,33.66,25.04,22.93,24.81,27.51,26.43,22.69,29.36,37.52,35.71,,
